bytes_in,bytes_out,creation_date ,creation_time,end_date,end_time,src_ip,src_ip_country_code,event_date,event_time
3862,2982,2024-04-26,8:00,2024-04-26,8:10,136.226.80.97,US,2024-04-26,8:00
15978,28154,2024-04-26,8:10,2024-04-26,8:20,136.226.67.101,US,2024-04-26,8:10
28042,4834,2024-04-26,8:10,2024-04-26,8:20,165.225.212.255,CA,2024-04-26,8:10
3618,2648,2024-04-26,8:10,2024-04-26,8:20,94.188.248.74,IL,2024-04-26,8:10
13546,17742,2024-04-26,8:10,2024-04-26,8:20,165.225.26.101,DE,2024-04-26,8:10
18273120,1145109,2024-04-26,8:10,2024-04-26,8:20,155.91.45.242,US,2024-04-26,8:10
15094,10563,2024-04-26,8:10,2024-04-26,8:20,165.225.209.4,CA,2024-04-26,8:10
5238,11674,2024-04-26,8:10,2024-04-26,8:20,147.161.131.1,AT,2024-04-26,8:10
4480,11778,2024-04-26,8:20,2024-04-26,8:30,147.161.161.82,AE,2024-04-26,8:20
30396,28830,2024-04-26,8:20,2024-04-26,8:30,136.226.67.101,US,2024-04-26,8:20
28628,13570,2024-04-26,8:20,2024-04-26,8:30,165.225.212.255,CA,2024-04-26,8:20
1360,436,2024-04-26,8:20,2024-04-26,8:30,198.235.24.81,US,2024-04-26,8:20
3976,11282,2024-04-26,8:20,2024-04-26,8:30,94.188.248.74,IL,2024-04-26,8:20
9440,23452,2024-04-26,8:20,2024-04-26,8:30,165.225.26.101,DE,2024-04-26,8:20
18285525,1130944,2024-04-26,8:20,2024-04-26,8:30,155.91.45.242,US,2024-04-26,8:20
24200,41078,2024-04-26,8:20,2024-04-26,8:30,165.225.209.4,CA,2024-04-26,8:20
5030,11570,2024-04-26,8:20,2024-04-26,8:30,147.161.131.1,AT,2024-04-26,8:20
7204,5860,2024-04-26,8:20,2024-04-26,8:30,136.226.80.97,US,2024-04-26,8:20
4168,11674,2024-04-26,8:30,2024-04-26,8:40,147.161.161.82,AE,2024-04-26,8:30
37156,48239,2024-04-26,8:30,2024-04-26,8:40,136.226.67.101,US,2024-04-26,8:30
27912,6080,2024-04-26,8:30,2024-04-26,8:40,165.225.213.7,CA,2024-04-26,8:30
44390,22134,2024-04-26,8:30,2024-04-26,8:40,136.226.64.114,US,2024-04-26,8:30
4686,11778,2024-04-26,8:30,2024-04-26,8:40,136.226.77.103,CA,2024-04-26,8:30
18239056,1144663,2024-04-26,8:30,2024-04-26,8:40,155.91.45.242,US,2024-04-26,8:30
6806,13238,2024-04-26,8:30,2024-04-26,8:40,165.225.209.4,CA,2024-04-26,8:30
10118,14760,2024-04-26,8:30,2024-04-26,8:40,147.161.131.1,AT,2024-04-26,8:30
15016,11797,2024-04-26,8:40,2024-04-26,8:50,136.226.67.101,US,2024-04-26,8:40
1996566,56644,2024-04-26,8:40,2024-04-26,8:50,165.225.240.79,NL,2024-04-26,8:40
10578,23450,2024-04-26,8:40,2024-04-26,8:50,165.225.26.101,DE,2024-04-26,8:40
18125238,1121958,2024-04-26,8:40,2024-04-26,8:50,155.91.45.242,US,2024-04-26,8:40
18482,29508,2024-04-26,8:40,2024-04-26,8:50,165.225.209.4,CA,2024-04-26,8:40
5238,11778,2024-04-26,8:40,2024-04-26,8:50,147.161.131.1,AT,2024-04-26,8:40
4116,11570,2024-04-26,8:40,2024-04-26,8:50,136.226.80.97,US,2024-04-26,8:40
4272,11778,2024-04-26,8:50,2024-04-26,9:00,147.161.161.82,AE,2024-04-26,8:50
31166,25856,2024-04-26,8:50,2024-04-26,9:00,165.225.33.6,US,2024-04-26,8:50
28830,27096,2024-04-26,8:50,2024-04-26,9:00,136.226.67.101,US,2024-04-26,8:50
60122,12630,2024-04-26,8:50,2024-04-26,9:00,136.226.64.114,US,2024-04-26,8:50
3678,11038,2024-04-26,8:50,2024-04-26,9:00,165.225.240.79,NL,2024-04-26,8:50
36522,18578,2024-04-26,8:50,2024-04-26,9:00,136.226.77.103,CA,2024-04-26,8:50
13232,17534,2024-04-26,8:50,2024-04-26,9:00,165.225.26.101,DE,2024-04-26,8:50
18171403,1103358,2024-04-26,8:50,2024-04-26,9:00,155.91.45.242,US,2024-04-26,8:50
1147,5151,2024-04-26,8:50,2024-04-26,9:00,65.49.1.69,US,2024-04-26,8:50
80,44,2024-04-26,8:50,2024-04-26,9:00,65.49.1.72,US,2024-04-26,8:50
790,444,2024-04-26,8:50,2024-04-26,9:00,65.49.1.94,US,2024-04-26,8:50
5030,11674,2024-04-26,8:50,2024-04-26,9:00,147.161.131.1,AT,2024-04-26,8:50
3638,3086,2024-04-26,8:50,2024-04-26,9:00,136.226.80.97,US,2024-04-26,8:50
4704,11882,2024-04-26,9:10,2024-04-26,9:20,147.161.161.82,AE,2024-04-26,9:10
16960,19458,2024-04-26,9:10,2024-04-26,9:20,136.226.67.101,US,2024-04-26,9:10
29314,15444,2024-04-26,9:10,2024-04-26,9:20,165.225.213.7,CA,2024-04-26,9:10
28244,17860,2024-04-26,9:00,2024-04-26,9:10,165.225.33.6,US,2024-04-26,9:00
2007229,59926,2024-04-26,9:10,2024-04-26,9:20,165.225.240.79,NL,2024-04-26,9:10
18890,30568,2024-04-26,9:00,2024-04-26,9:10,136.226.67.101,US,2024-04-26,9:00
27970,13366,2024-04-26,9:00,2024-04-26,9:10,165.225.213.7,CA,2024-04-26,9:00
30596,14488,2024-04-26,9:00,2024-04-26,9:10,136.226.64.114,US,2024-04-26,9:00
6488,4164,2024-04-26,9:10,2024-04-26,9:20,136.226.77.103,CA,2024-04-26,9:10
9908,14656,2024-04-26,9:10,2024-04-26,9:20,165.225.26.101,DE,2024-04-26,9:10
48614,25178,2024-04-26,9:00,2024-04-26,9:10,136.226.77.103,CA,2024-04-26,9:00
7994,5754,2024-04-26,9:00,2024-04-26,9:10,165.225.26.101,DE,2024-04-26,9:00
18119202,1132321,2024-04-26,9:10,2024-04-26,9:20,155.91.45.242,US,2024-04-26,9:10
3904,19282,2024-04-26,9:00,2024-04-26,9:10,65.49.1.104,US,2024-04-26,9:00
5736,12114,2024-04-26,9:10,2024-04-26,9:20,165.225.209.4,CA,2024-04-26,9:10
18187778,1142605,2024-04-26,9:00,2024-04-26,9:10,155.91.45.242,US,2024-04-26,9:00
5482,21034,2024-04-26,9:00,2024-04-26,9:10,65.49.1.97,US,2024-04-26,9:00
1112,430,2024-04-26,9:00,2024-04-26,9:10,65.49.1.99,US,2024-04-26,9:00
833,4490,2024-04-26,9:00,2024-04-26,9:10,65.49.1.76,US,2024-04-26,9:00
1674,8980,2024-04-26,9:00,2024-04-26,9:10,65.49.1.96,US,2024-04-26,9:00
1328,524,2024-04-26,9:00,2024-04-26,9:10,65.49.1.95,US,2024-04-26,9:00
3534,2982,2024-04-26,9:10,2024-04-26,9:20,136.226.80.97,US,2024-04-26,9:10
